Project Id,Bid,Status,
487506,Bid[1],Project Loading Failed,
487793,Bid[1],Project Loading Failed,
487141,Bid[1],Project Loading Failed,
487582,Bid[1],Project Loading Failed,
487179,Bid[1],Project Loading Failed,
487159,Bid[1],Project Loading Failed,
487445,Bid[1],Project Loading Failed,
487206,Bid[1],Project Loading Failed,
487142,Bid[1],Project Loading Failed,
487307,Bid[1],Project Loading Failed,
487217,Bid[1],Project Loading Failed,
487884,Bid[1],Project Loading Failed,
487155,Bid[1],Project Loading Failed,
487124,Bid[1],Project Loading Failed,
487230,Bid[1],Project Loading Failed,
487451,Bid[1],Project Loading Failed,
487119,Bid[1],Project Loading Failed,
487229,Bid[1],Project Loading Failed,
487551,Bid[1],Project Loading Failed,
487136,Bid[1],Project Loading Failed,
487686,Bid[1],Project Loading Failed,
487294,Bid[1],Project Loading Failed,
487153,Bid[1],Project Loading Failed,
487402,Bid[1],Project Loading Failed,
487169,Bid[1],Project Loading Failed,
487371,Bid[1],Project Loading Failed,
487960,Bid[1],Project Loading Failed,
487183,Bid[1],Project Loading Failed,
487977,Bid[1],Project Loading Failed,
487144,Bid[1],Project Loading Failed,
487198,Bid[1],Project Loading Failed,
487363,Bid[1],Project Loading Failed,
487436,Bid[1],Project Loading Failed,
487167,Bid[1],Project Loading Failed,
487176,Bid[1],Project Loading Failed,
487654,Bid[1],Project Loading Failed,
487143,Bid[1],Project Loading Failed,
487131,Bid[1],Project Loading Failed,
487122,Bid[1],Project Loading Failed,
487955,Bid[1],Project Loading Failed,
487223,Bid[1],Project Loading Failed,
487524,Bid[1],Project Loading Failed,
487149,Bid[1],Project Loading Failed,
487182,Bid[1],Project Loading Failed,
487137,Bid[1],Project Loading Failed,
487329,Bid[1],Project Loading Failed,
487205,Bid[1],Project Loading Failed,
487129,Bid[1],Project Loading Failed,
487086,Bid[1],Project Loading Failed,
487311,Bid[1],Project Loading Failed,
487499,Bid[1],Project Loading Failed,
487796,Bid[1],Project Loading Failed,
487191,Bid[1],Project Loading Failed,
487878,Bid[1],Project Loading Failed,
487016,Bid[1],Project Loading Failed,
487298,Bid[1],Project Loading Failed,
487196,Bid[1],Project Loading Failed,
487740,Bid[1],Project Loading Failed,
487166,Bid[1],Project Loading Failed,
487683,Bid[1],Project Loading Failed,
487823,Bid[1],Project Loading Failed,
487152,Bid[1],Project Loading Failed,
487190,Bid[1],Project Loading Failed,
487096,Bid[1],Project Loading Failed,
487655,Bid[1],Project Loading Failed,
487128,Bid[1],Project Loading Failed,
487180,Bid[1],Project Loading Failed,
487997,Bid[1],Project Loading Failed,
487147,Bid[1],Project Loading Failed,
487184,Bid[1],Project Loading Failed,
487719,Bid[1],Project Loading Failed,
487883,Bid[1],Project Loading Failed,
487994,Bid[1],Project Loading Failed,
487130,Bid[1],Project Loading Failed,
487069,Bid[1],Project Loading Failed,
487093,Bid[1],Project Loading Failed,
487730,Bid[1],Project Loading Failed,
487175,Bid[1],Project Loading Failed,
487784,Bid[1],Project Loading Failed,
487172,Bid[1],Project Loading Failed,
487105,Bid[1],Project Loading Failed,
487107,Bid[1],Project Loading Failed,
487053,Bid[1],Project Loading Failed,
487280,Bid[1],Project Loading Failed,
487077,Bid[1],Project Loading Failed,
487215,Bid[1],Project Loading Failed,
487239,Bid[1],Project Loading Failed,
487279,Bid[1],Project Loading Failed,
487661,Bid[1],Project Loading Failed,
487082,Bid[1],Project Loading Failed,
487535,Bid[1],Project Loading Failed,
487259,Bid[1],Project Loading Failed,
487095,Bid[1],Project Loading Failed,
487803,Bid[1],Project Loading Failed,
487054,Bid[1],Project Loading Failed,
487085,Bid[1],Project Loading Failed,
487336,Bid[1],Project Loading Failed,
487546,Bid[1],Project Loading Failed,
487080,Bid[1],Project Loading Failed,
487112,Bid[1],Project Loading Failed,
487998,Bid[1],Project Loading Failed,
486996,Bid[1],Project Loading Failed,
487579,Bid[1],Project Loading Failed,
487244,Bid[1],Project Loading Failed,
487992,Bid[1],Project Loading Failed,
487084,Bid[1],Project Loading Failed,
487079,Bid[1],Project Loading Failed,
487839,Bid[1],Project Loading Failed,
487090,Bid[1],Project Loading Failed,
487072,Bid[1],Project Loading Failed,
